cycle	plate	well	tile
1	1	A01	1
2	1	A01	1
3	1	A01	1
4	1	A01	1
1	1	A01	2
2	1	A01	2
3	1	A01	2
4	1	A01	2
1	1	A01	3
2	1	A01	3
3	1	A01	3
4	1	A01	3
1	1	A01	4
2	1	A01	4
3	1	A01	4
4	1	A01	4
